Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:24:26.214 	23.876044	40.153766	13.937710	9.956302	5.918171	27.981175	43.264970	11.098025	6.928639	3.913053	73.055886	50.756909	37.750297	1.483870	69.109059	29.407072
오후 9:24:27.235 	21.183358	37.358228	15.738252	11.907180	7.206231	25.424774	39.337898	13.437865	8.937945	5.105227	72.810789	46.230864	36.842615	1.363499	68.745397	29.891104
오후 9:24:28.162 	21.124380	37.294220	15.611012	11.973898	7.223479	25.223176	39.479946	13.450642	8.917673	5.141221	72.815381	45.793762	35.897291	1.014288	67.773851	31.211861
오후 9:24:29.218 	21.011629	37.367653	15.783776	11.826178	7.186849	25.261222	39.446356	13.446663	8.986481	5.118366	72.954680	46.635693	36.749290	0.873166	67.559243	31.567591
오후 9:24:30.274 	21.091852	37.307473	15.826677	11.781913	7.163195	25.351248	39.474499	13.484585	8.886209	5.118499	73.039984	47.067102	36.429091	0.409262	66.687361	32.903377
오후 9:24:31.262 	21.107890	37.277319	15.918941	11.757911	7.160994	25.330853	39.550262	13.473438	8.836168	5.136505	73.113844	46.860097	36.269540	0.160669	65.540703	34.298628
오후 9:24:32.244 	21.148489	37.193053	15.897498	11.885702	7.122981	25.332229	39.520580	13.668884	8.817845	5.128507	73.220339	47.454704	36.661464	0.096539	66.159024	33.744437
오후 9:24:33.281 	21.034547	37.024512	16.033199	12.070054	7.039642	25.231452	39.492106	13.756266	8.879321	5.072865	73.356328	47.781164	36.517560	0.121902	66.256765	33.621333
오후 9:24:34.281 	21.067554	37.017159	15.937824	12.073184	7.117857	25.145908	39.474927	13.785911	8.880855	5.088942	73.419638	47.886217	36.632141	0.110263	66.849967	33.039770
오후 9:24:35.305 	21.005034	37.128816	15.905941	12.064819	7.097481	25.003248	39.364115	13.975806	8.958777	5.046651	73.492823	48.714105	36.626274	0.310282	66.289922	33.399795
오후 9:24:36.287 	20.998111	37.225886	15.914947	11.994531	7.087065	24.894076	39.436715	13.951048	8.952476	5.083374	73.571048	49.960880	36.532270	0.436982	65.991430	33.571588
오후 9:24:37.248 	21.024041	37.200571	15.900912	11.955257	7.062099	24.873961	39.429744	13.938886	9.039015	5.042109	73.639632	50.600003	35.647970	0.401543	65.705838	33.892620
오후 9:24:38.201 	21.158304	37.452525	15.750411	11.858341	7.013014	24.841623	39.527700	13.992224	9.007318	4.996185	73.855882	50.735208	36.040317	0.518156	65.996078	33.485766
오후 9:24:39.207 	21.487537	37.224491	15.723172	11.868430	6.981845	24.660479	39.537989	14.055587	9.003305	5.006776	74.083601	50.315698	35.933194	0.635789	66.049008	33.315203
오후 9:24:40.237 	21.329015	37.157422	15.699400	12.077280	6.998127	24.836010	39.411840	13.917254	8.995734	5.057597	74.247734	49.118032	35.995939	0.594534	66.204748	33.200718
오후 9:24:41.278 	21.321773	37.054242	15.680919	12.224811	6.979747	24.945560	39.431688	13.816190	8.977984	5.022045	74.498704	47.812096	36.031495	0.774594	64.461084	34.764322
오후 9:24:42.169 	19.553022	35.796852	16.634776	13.361549	7.364468	23.025187	36.913398	15.442132	10.215455	5.497002	74.712154	46.140603	35.477291	1.042713	62.835000	36.122287
오후 9:24:43.215 	19.800927	35.495311	16.513408	13.476685	7.516854	22.748589	37.833057	15.100422	10.068498	5.688723	74.821834	45.575146	35.477291	1.148299	62.757300	36.094401
