Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:35:56.890 	24.874346	35.486655	15.952768	10.447700	3.694076	24.947736	34.466336	15.810850	11.243085	4.869240	114.841121	18.829576	27.921753	14.216638	50.262525	35.520836
오후 8:35:57.930 	24.502639	36.813249	15.576895	10.176655	3.665308	24.651272	35.759740	15.421850	10.886847	4.813676	114.803018	18.739389	27.950335	15.065426	49.148496	35.786079
오후 8:35:59.016 	24.069513	39.245167	14.726888	9.702182	3.483124	23.977380	38.590097	14.533769	10.427703	4.525141	114.796587	18.748603	27.956048	16.773064	48.787860	34.439075
오후 8:35:59.983 	26.640700	39.457630	13.697358	8.984106	3.167998	26.188951	39.251558	13.497140	9.713829	4.135175	114.847255	18.998353	28.048315	15.410299	53.774963	30.814738
오후 8:36:00.931 	27.878060	38.541869	13.902162	8.815124	3.160842	26.861901	38.547037	13.693032	9.618387	4.159007	114.901905	18.995993	28.176107	13.383168	55.903580	30.713252
오후 8:36:01.911 	28.233725	38.719808	13.475341	8.432466	3.068253	26.933919	39.155198	13.311439	9.251459	3.991271	114.869479	19.157546	28.276502	12.906373	56.769585	30.324042
오후 8:36:02.934 	27.004577	41.158053	13.049848	7.827196	3.022619	26.131482	40.694139	13.012902	8.882337	3.849584	114.983051	19.504207	28.725201	9.396558	61.053269	29.550172
오후 8:36:03.955 	26.981089	40.313928	12.932535	8.291792	3.277322	25.732658	40.360109	13.082151	9.314400	4.037453	115.002852	19.425222	28.594854	7.521866	34.780978	57.697155
오후 8:36:04.937 	27.733388	39.235811	12.882101	8.429759	3.369218	26.555810	39.305429	12.994309	9.422590	4.200639	114.301914	33.332702	44.493608	7.437515	33.919063	58.643422
오후 8:36:05.963 	27.017851	39.572515	13.235470	8.369276	3.409775	25.074635	39.060106	13.620037	9.768152	4.963333	114.212874	33.942188	46.146304	6.522166	29.722264	63.755570
오후 8:36:06.969 	27.260585	39.205757	13.115889	8.397318	3.634611	25.297644	38.841579	13.597821	9.803851	5.079102	114.342432	34.633477	48.278153	9.136208	38.648567	52.215225
오후 8:36:08.087 	27.085033	39.423136	13.166313	8.387619	3.702578	25.032502	38.466302	13.515934	9.959053	5.653722	114.374867	34.774081	48.544851	8.839276	37.760188	53.400535
오후 8:36:08.943 	27.028363	39.423213	13.119611	8.441325	3.794749	25.061357	38.417833	13.597623	9.917719	5.728993	114.301914	34.504938	48.161008	7.912355	36.313086	55.774559
오후 8:36:09.951 	29.359987	40.025575	11.933761	7.488008	3.439271	27.397020	39.280794	12.378971	8.973107	5.239756	114.431673	34.805008	48.305496	7.723438	33.662270	58.614292
